date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:05:50	54759/54759	U-----	200	untouched ('')	image/jpeg	etag:%2218a85a99a76cd21:0%22	http://www.jiitconverge.com/Converge/images/bg/bg_black.jpg	C:/Users/Nikhil/Desktop/Website/parakram.github.io/Events/www.jiitconverge.com/Converge/images/bg/bg_black.jpg	(from http://www.jiitconverge.com/Converge/html/home.html)
00:05:50	4448/4448	U-----	200	untouched ('')	image/png	etag:%222c98999a76cd21:0%22	http://www.jiitconverge.com/Converge/images/bg/bg_grey.png	C:/Users/Nikhil/Desktop/Website/parakram.github.io/Events/www.jiitconverge.com/Converge/images/bg/bg_grey.png	(from http://www.jiitconverge.com/Converge/html/home.html)
00:05:50	944/944	U-----	200	untouched ('')	image/png	etag:%229717ec99a76cd21:0%22	http://www.jiitconverge.com/Converge/images/bg/bg_white.png	C:/Users/Nikhil/Desktop/Website/parakram.github.io/Events/www.jiitconverge.com/Converge/images/bg/bg_white.png	(from http://www.jiitconverge.com/Converge/html/home.html)
00:05:51	1216/1216	U-----	200	untouched ('')	image/png	etag:%22ff34729ca76cd21:0%22	http://www.jiitconverge.com/Converge/images/buttons/back-arrow-black.png	C:/Users/Nikhil/Desktop/Website/parakram.github.io/Events/www.jiitconverge.com/Converge/images/buttons/back-arrow-black.png	(from http://www.jiitconverge.com/Converge/html/home.html)
00:05:51	49794/49794	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2026%20Jan%202018%2018:35:50%20GMT	https://www.instagram.com/jiitconverge/	C:/Users/Nikhil/Desktop/Website/parakram.github.io/Events/www.instagram.com/jiitconverge/index.html	(from http://www.jiitconverge.com/Converge/html/home.html)
00:05:52	1211/1211	U-----	200	untouched ('')	image/png	etag:%22e01d629ea76cd21:0%22	http://www.jiitconverge.com/Converge/images/buttons/back-arrow-white.png	C:/Users/Nikhil/Desktop/Website/parakram.github.io/Events/www.jiitconverge.com/Converge/images/buttons/back-arrow-white.png	(from http://www.jiitconverge.com/Converge/html/home.html)
00:05:52	1220/1220	U-----	200	untouched ('')	image/png	etag:%224097749ca76cd21:0%22	http://www.jiitconverge.com/Converge/images/buttons/back-arrow-black-right.png	C:/Users/Nikhil/Desktop/Website/parakram.github.io/Events/www.jiitconverge.com/Converge/images/buttons/back-arrow-black-right.png	(from http://www.jiitconverge.com/Converge/html/home.html)
00:05:53	1221/1221	U-----	200	untouched ('')	image/png	etag:%2295cecc9ca76cd21:0%22	http://www.jiitconverge.com/Converge/images/buttons/back-arrow-white-right.png	C:/Users/Nikhil/Desktop/Website/parakram.github.io/Events/www.jiitconverge.com/Converge/images/buttons/back-arrow-white-right.png	(from http://www.jiitconverge.com/Converge/html/home.html)
00:05:53	1224/1224	U-----	200	untouched ('')	image/png	etag:%22c31afa9ca76cd21:0%22	http://www.jiitconverge.com/Converge/images/buttons/down-arrow-black.png	C:/Users/Nikhil/Desktop/Website/parakram.github.io/Events/www.jiitconverge.com/Converge/images/buttons/down-arrow-black.png	(from http://www.jiitconverge.com/Converge/html/home.html)
00:05:54	1231/1231	U-----	200	untouched ('')	image/png	etag:%221525c79da76cd21:0%22	http://www.jiitconverge.com/Converge/images/buttons/down-arrow-white.png	C:/Users/Nikhil/Desktop/Website/parakram.github.io/Events/www.jiitconverge.com/Converge/images/buttons/down-arrow-white.png	(from http://www.jiitconverge.com/Converge/html/home.html)
